"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"FUNDAÇÃO CESP (315478)";"Médico Hospitalar";"Grande";"36";"37";"   6,03";"   6,79";"   6,55";"   7,24";"   8,13";"   8,97";"    9,52";"    9,03";"   8,80";"   9,01";"   8,37";"   8,44";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL (317233)";"Médico Hospitalar";"Médio";"150";"134";"   0,90";"   1,33";"   2,20";"   3,06";"   3,89";"   3,97";"    3,43";"    3,39";"   3,74";"   4,56";"   3,30";"   1,65";"202210";"15/11/2022 05:40:45"
"FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV (307751)";"Médico Hospitalar";"Pequeno";"147";"161";"   1,08";"   1,08";"0,00";"   1,08";"   1,08";"   2,16";"    1,08";"    5,40";"   4,33";"   4,33";"   2,16";"   2,16";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (355151)";"Médico Hospitalar";"Médio";"92";"99";"   2,06";"   2,06";"   1,03";"   1,02";"   1,28";"   2,04";"    2,29";"    2,54";"   1,52";"   1,26";"   1,01";"   1,26";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (420701)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES (339636)";"Médico Hospitalar";"Pequeno";"177";"170";"0,00";"   0,96";"   0,96";"   0,95";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO DE PREVIDÊNCIA DOS EMPREGADOS DA CEB (309362)";"Médico Hospitalar";"Pequeno";"95";"71";"   2,87";"   5,76";"   5,80";"   2,89";"0,00";"0,00";"    2,79";"    5,49";"   5,44";"   5,38";"   5,33";"   5,27";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO DE SAÚDE ITAIGUAPY (311359)";"Médico Hospitalar";"Médio";"211";"204";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,40";"    0,41";"    0,41";"0,00";"   0,82";"   0,82";"   1,23";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST (330809)";"Médico Hospitalar";"Médio";"188";"191";"   0,37";"   0,37";"   0,74";"   0,37";"   0,37";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,36";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO FIAT SAÚDE E BEM ESTAR (418285)";"Médico Hospitalar";"Médio";"200";"204";"   0,26";"0,00";"   0,24";"   0,97";"   0,97";"   0,72";"0,00";"    0,24";"   0,48";"   0,69";"   1,13";"   1,12";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942)";"Médico Hospitalar";"Pequeno";"163";"182";"   0,75";"   0,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FUNDACAO LEONOR DE BARROS CAMARGO (410292)";"Médico Hospitalar";"Médio";"211";"192";"0,00";"   0,37";"   0,37";"   0,37";"0,00";"0,00";"0,00";"    0,36";"   0,73";"   1,09";"   1,44";"   1,08";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL (378216)";"Médico Hospitalar";"Pequeno";"128";"85";"   1,48";"   4,41";"   4,39";"   5,82";"   2,89";"   1,44";"0,00";"0,00";"   1,41";"   1,40";"   1,40";"   1,39";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA (418501)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,00";"    4,01";"   4,01";"   2,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL (338648)";"Médico Hospitalar";"Médio";"184";"160";"   0,41";"   0,82";"   1,64";"   1,63";"   1,63";"   1,22";"    1,62";"    1,21";"   1,21";"   0,40";"   0,40";"   0,80";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO SÃO FRANCISCO XAVIER (339954)";"Médico Hospitalar";"Grande";"70";"71";"   2,12";"   2,48";"   2,98";"   2,77";"   2,81";"   2,72";"    2,42";"    2,83";"   2,47";"   2,91";"   2,68";"   2,77";"202210";"15/11/2022 05:40:45"
"FUNDAÇÃO SAÚDE ITAÚ (312126)";"Médico Hospitalar";"Grande";"41";"44";"   4,94";"   5,34";"   5,60";"   6,19";"   8,11";"  10,14";"   10,25";"   10,30";"   9,82";"   9,48";"  11,18";"  11,22";"202210";"15/11/2022 05:40:45"
"FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP (409286)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"  24,71";"  24,31";"   24,04";"   23,81";"  23,68";"  23,51";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"GAMA SAUDE LTDA. (407011)";"Médico Hospitalar";"Pequeno";"28";"37";"  20,99";"  16,55";"  12,42";"   8,29";"  10,36";"   6,22";"    8,27";"    6,20";"  10,33";"  12,44";"  12,50";"  10,50";"202210";"15/11/2022 05:40:45"
"GARANTIA DE SAÚDE LTDA (343064)";"Médico Hospitalar";"Pequeno";"41";"43";"  13,31";"  13,79";"  14,78";"  13,16";"  14,55";"  15,45";"   18,40";"   16,84";"  16,24";"  12,75";"  14,18";"  12,19";"202210";"15/11/2022 05:40:45"
"GEAP AUTOGESTÃO EM SAÚDE (323080)";"Médico Hospitalar";"Grande";"9";"11";"  10,41";"  11,88";"  11,44";"  12,33";"  12,29";"  12,03";"   12,35";"   14,26";"  13,91";"  13,64";"  14,47";"  16,22";"202210";"15/11/2022 05:40:45"
"GKN DO BRASIL LTDA (416819)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"GOCARE PLANOS DE SAUDE LTDA (422681)";"Médico Hospitalar";"Médio";"14";"10";"  17,46";"  20,08";"  17,21";"  12,78";"  11,29";"  15,74";"   21,53";"   22,15";"  23,60";"  28,18";"  33,15";"  29,79";"202210";"15/11/2022 05:40:45"
"GOOD LIFE SAUDE LTDA (305995)";"Médico Hospitalar";"Pequeno";"7";"7";" 110,99";" 138,16";" 130,47";" 129,09";"  97,88";"  71,66";"   42,29";"   41,86";"  41,74";"  45,36";"  50,86";"  40,60";"202210";"15/11/2022 05:40:45"
"GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA (309222)";"Médico Hospitalar";"Grande";"14";"17";"   9,17";"  10,19";"   9,04";"   8,39";"   8,08";"   8,02";"    6,56";"    6,80";"   6,02";"   6,75";"   6,60";"   7,51";"202210";"15/11/2022 05:40:45"
"GS PLANO GLOBAL DE SAÚDE LTDA (413160)";"Médico Hospitalar";"Pequeno";"69";"91";"   5,12";"   4,06";"   1,01";"   1,00";"   5,00";"   5,96";"    5,92";"    3,92";"   4,87";"   7,76";"   7,73";"   6,72";"202210";"15/11/2022 05:40:45"
"HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834)";"Médico Hospitalar";"Pequeno";"11";"25";"  58,65";"  29,33";"  29,33";"  73,31";"  87,98";"  73,31";"   43,99";"   73,31";"  73,31";"  58,65";"  14,66";"0,00";"202210";"15/11/2022 05:40:45"
"HAPPYMED PLANO DE SAÚDE LTDA (422444)";"Médico Hospitalar";"Pequeno";"1";"2";" 441,35";" 613,23";" 389,34";" 263,99";"  64,00";"  43,33";"   29,69";"   21,49";"  17,38";"  16,84";"  20,78";"  17,72";"202210";"15/11/2022 05:40:45"
"HAPVIDA ASSISTENCIA MEDICA S.A. (368253)";"Médico Hospitalar";"Grande";"40";"42";"   5,00";"   5,95";"   5,84";"   5,72";"   5,97";"   6,54";"    6,34";"    6,21";"   5,30";"   5,50";"   5,86";"   6,52";"202210";"15/11/2022 05:40:45"
"H.B. SAÚDE S/A. (350249)";"Médico Hospitalar";"Grande";"57";"43";"   3,12";"   5,91";"   8,04";"   8,33";"   6,36";"   4,31";"    3,57";"    3,78";"   3,78";"   4,30";"   4,13";"   4,52";"202210";"15/11/2022 05:40:45"
"HBC SAÚDE LTDA. (414352)";"Médico Hospitalar";"Médio";"63";"59";"   4,24";"   4,49";"   4,19";"   5,20";"   7,23";"   8,20";"   10,69";"   16,75";"  15,85";"  14,18";"   7,25";"   8,26";"202210";"15/11/2022 05:40:45"
"HEALTH-MED SISTEMA DE SAUDE LTDA (421723)";"Médico Hospitalar";"Pequeno";"38";"67";"  14,44";"   6,99";"   6,92";"   7,04";"   7,55";"   8,05";"   12,81";"   13,62";"   9,78";"0,00";"0,00";"  12,62";"202210";"15/11/2022 05:40:45"
"HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA (416398)";"Médico Hospitalar";"Médio";"46";"49";"   6,65";"   6,53";"   4,65";"   4,04";"   3,76";"   3,47";"    3,49";"    3,18";"   1,91";"   1,28";"   0,96";"   2,23";"202210";"15/11/2022 05:40:45"
"HOSPITAL BOM SAMARITANO S/S LTDA (419362)";"Médico Hospitalar";"Pequeno";"24";"10";"  23,85";"  71,54";" 135,14";" 222,58";" 555,12";" 853,85";"  744,99";"  413,79";" 201,54";" 141,01";" 126,01";"  56,46";"202210";"15/11/2022 05:40:45"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO (420930)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"HOSPITAL MARECHAL CÂNDIDO RONDON S/A (392391)";"Médico Hospitalar";"Médio";"108";"109";"   1,75";"   1,77";"   1,10";"   1,56";"   1,72";"   3,23";"    3,51";"    3,55";"   2,81";"   2,31";"   2,06";"   1,30";"202210";"15/11/2022 05:40:45"
"HOSPITAL MATER DEI SA  (421626)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,27";"   2,31";"   2,35";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"HOSPITAL S.P. LTDA. (363189)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   4,05";"   4,05";"   4,05";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"HUMANA ASSISTENCIA MEDICA LTDA (357511)";"Médico Hospitalar";"Grande";"31";"28";"   6,57";"   7,87";"   9,25";"  11,08";"  12,42";"  12,76";"   11,14";"    9,82";"   8,00";"   8,67";"   9,66";"   9,77";"202210";"15/11/2022 05:40:45"
"HUMANA PARANÁ S.A (348180)";"Médico Hospitalar";"Grande";"11";"9";"   9,97";"  12,87";"  12,88";"  15,17";"  15,30";"  15,19";"   12,90";"   11,35";"  10,47";"  10,97";"  11,39";"   9,18";"202210";"15/11/2022 05:40:45"
"HUMANA SAÚDE SUL LTDA. (369373)";"Médico Hospitalar";"Médio";"90";"106";"   2,08";"   1,84";"   1,91";"   1,63";"   1,97";"   1,33";"    0,34";"0,00";"0,00";"   1,05";"   1,42";"   2,51";"202210";"15/11/2022 05:40:45"
"IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA (420751)";"Médico Hospitalar";"Pequeno";"34";"41";"  16,45";"  14,62";"   8,24";"   4,26";"   8,36";"  11,52";"   14,38";"   11,98";"  10,20";"   6,42";"   5,99";"   8,55";"202210";"15/11/2022 05:40:45"
"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB (329282)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM (419427)";"Médico Hospitalar";"Médio";"191";"166";"   0,32";"   0,63";"   0,63";"   0,31";"0,00";"   0,31";"    0,31";"    0,31";"0,00";"0,00";"   0,31";"   0,31";"202210";"15/11/2022 05:40:45"
"INSTITUTO CURITIBA DE SAÚDE (419010)";"Médico Hospitalar";"Médio";"138";"140";"   1,20";"   1,20";"   1,72";"   1,98";"   2,11";"   1,32";"    0,79";"    1,05";"   1,05";"   0,78";"   0,52";"   1,04";"202210";"15/11/2022 05:40:45"
"INTERCLINICAS PLANO VIDA USA OPERADORA DE SAUDE LTDA  (420841)";"Médico Hospitalar";"Pequeno";"4";"3";" 135,99";" 209,61";" 150,75";" 168,13";"  92,17";" 111,19";"   85,90";"   83,33";"  60,69";"  79,00";"  96,65";"  94,82";"202210";"15/11/2022 05:40:45"
"INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA (312282)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   1,69";"   1,70";"    1,70";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422)";"Médico Hospitalar";"Médio";"169";"204";"   0,49";"0,00";"   0,50";"   1,51";"   1,52";"   1,02";"    0,52";"    0,52";"   0,52";"   0,52";"   2,10";"   2,62";"202210";"15/11/2022 05:40:45"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875)";"Médico Hospitalar";"Pequeno";"156";"174";"   0,92";"   0,92";"   0,92";"   2,76";"   1,84";"   1,84";"0,00";"    2,77";"   3,69";"   3,69";"   0,92";"0,00";"202210";"15/11/2022 05:40:45"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562)";"Médico Hospitalar";"Médio";"205";"181";"   0,21";"   0,42";"   0,42";"   0,42";"   0,43";"   0,43";"    1,08";"    1,09";"   1,32";"   0,66";"   0,66";"   0,67";"202210";"15/11/2022 05:40:45"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655)";"Médico Hospitalar";"Médio";"198";"161";"   0,27";"   0,81";"   0,81";"   0,81";"   0,27";"0,00";"0,00";"    0,53";"   0,53";"   0,53";"0,00";"   0,27";"202210";"15/11/2022 05:40:45"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"   1,28";"   1,28";"   1,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"IRMANDADE DE MISERICORDIA DE PORTO FERREIRA (329355)";"Médico Hospitalar";"Pequeno";"170";"186";"   0,63";"   0,63";"   0,63";"0,00";"0,00";"0,00";"    1,26";"    1,90";"   1,91";"   1,92";"   1,28";"   1,31";"202210";"15/11/2022 05:40:45"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"164";"183";"   0,75";"   0,75";"   0,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,79";"   0,80";"202210";"15/11/2022 05:40:45"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE ITAPEVA (345741)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,10";"    3,09";"    3,10";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ (336831)";"Médico Hospitalar";"Médio";"84";"129";"   2,34";"   1,41";"   0,96";"   1,46";"   1,97";"   2,48";"    1,75";"    1,77";"   1,28";"   1,54";"   1,55";"   2,34";"202210";"15/11/2022 05:40:45"
"ITAIPU BINACIONAL (366234)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"   1,36";"   1,36";"   1,36";"0,00";"0,00";"    1,35";"   1,35";"   1,35";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ITAUSEG SAÚDE S.A. (000884)";"Médico Hospitalar";"Pequeno";"44";"44";"  11,07";"  13,48";"  14,65";"  15,82";"  18,17";"  15,68";"   19,20";"   17,93";"  23,78";"  17,76";"  17,68";"  12,91";"202210";"15/11/2022 05:40:45"
"KIPP SAÚDE LTDA. (422614)";"Médico Hospitalar";"Pequeno";"6";"6";" 114,26";" 140,25";" 108,02";"  85,67";"  57,47";"  44,48";"   26,34";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"KLINI PLANOS DE SAÚDE LTDA (422029)";"Médico Hospitalar";"Médio";"26";"27";"  10,19";"  10,55";"   9,66";"   9,47";"   9,29";"  11,91";"   11,73";"   11,92";"   8,45";"   9,06";"  21,28";"  26,71";"202210";"15/11/2022 05:40:45"
"LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA. (364592)";"Médico Hospitalar";"Pequeno";"22";"21";"  25,30";"  33,56";"  43,75";"  45,05";"  40,36";"  48,72";"   53,14";"   71,89";"  47,03";"  56,84";"  58,94";"  77,66";"202210";"15/11/2022 05:40:45"
"LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A (422339)";"Médico Hospitalar";"Médio";"8";"16";"  30,42";"  37,86";"  38,56";"  39,05";"  36,13";"  35,39";"   38,26";"   44,73";"  41,11";"  35,19";"  37,52";"  40,00";"202210";"15/11/2022 05:40:45"
"LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"LIFE EMPRESARIAL SAÚDE LTDA. (414492)";"Médico Hospitalar";"Médio";"132";"95";"   1,30";"   2,17";"   2,16";"   1,94";"   0,65";"   0,86";"    0,85";"    1,68";"   1,45";"   1,44";"   1,03";"   1,43";"202210";"15/11/2022 05:40:45"
"LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A (379280)";"Médico Hospitalar";"Grande";"64";"63";"   2,57";"   3,30";"   3,57";"   4,59";"   5,27";"   7,07";"    6,67";"    5,93";"   5,09";"   5,63";"   6,61";"   6,61";"202210";"15/11/2022 05:40:45"
"LIVRI OPERADORA DE PLANO DE SAÚDE LTDA (422479)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"MAIS SAÚDE PLANO DE SAÚDE LTDA (415065)";"Médico Hospitalar";"Pequeno";"47";"52";"   9,47";"   9,84";"   8,50";"   6,06";"   7,41";"   9,86";"   11,33";"   11,86";"   8,78";"  10,74";"  10,05";"  10,74";"202210";"15/11/2022 05:40:45"
"MAIS SAUDE S/A (419516)";"Médico Hospitalar";"Médio";"54";"43";"   5,95";"   7,18";"   7,60";"  12,83";"  13,24";"  13,22";"    8,02";"    8,42";"  10,45";"  11,22";"  10,87";"   8,93";"202210";"15/11/2022 05:40:45"
"MATÃO CLINICAS & AMHMA SAÚDE LTDA (416495)";"Médico Hospitalar";"Médio";"189";"204";"   0,34";"0,00";"0,00";"   0,34";"   0,35";"   1,41";"    1,06";"    1,07";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MED LIFE SAUDE ATA LTDA (419656)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MEDGOLD ASSISTENCIA MEDICA LTDA - ME (419753)";"Médico Hospitalar";"Pequeno";"137";"109";"   1,29";"   2,86";"   1,62";"   3,72";"   2,08";"   2,37";"    2,71";"    3,04";"   6,56";"   3,44";"   3,54";"0,00";"202210";"15/11/2022 05:40:45"
"MEDHEALTH PLANOS DE SAÚDE LTDA (421367)";"Médico Hospitalar";"Pequeno";"21";"15";"  25,73";"  37,91";"  47,66";"  40,97";"  34,39";"  22,46";"   29,04";"   33,84";"  36,77";"  28,27";"  13,21";"  11,56";"202210";"15/11/2022 05:40:45"
"MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A. (333689)";"Médico Hospitalar";"Grande";"48";"52";"   3,71";"   4,00";"   4,03";"   4,75";"   5,20";"   6,42";"    5,36";"    5,74";"   4,57";"   4,74";"   4,42";"   4,79";"202210";"15/11/2022 05:40:45"
"MEDPLAN ASSISTÊNCIA MEDICA LTDA. (337510)";"Médico Hospitalar";"Grande";"59";"56";"   3,05";"   3,76";"   3,95";"   4,38";"   4,29";"   3,83";"    4,15";"    3,87";"   3,10";"   2,24";"   3,36";"   4,42";"202210";"15/11/2022 05:40:45"
"MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA. (328537)";"Médico Hospitalar";"Médio";"61";"65";"   4,40";"   4,00";"   3,21";"   3,01";"   4,40";"   4,08";"    5,14";"    4,41";"   4,86";"   4,31";"   4,77";"   4,83";"202210";"15/11/2022 05:40:45"
"MEMORIAL SAUDE LTDA (373010)";"Médico Hospitalar";"Grande";"74";"70";"   1,75";"   2,54";"   2,83";"   3,46";"   2,77";"   3,30";"    2,42";"    2,86";"   1,87";"   2,04";"   1,50";"   2,19";"202210";"15/11/2022 05:40:45"
"METRUS INSTITUTO DE SEGURIDADE SOCIAL (380661)";"Médico Hospitalar";"Médio";"112";"91";"   1,64";"   2,29";"   2,61";"   1,95";"   2,27";"   3,24";"    3,56";"    4,18";"   3,84";"   5,74";"   5,40";"   5,39";"202210";"15/11/2022 05:40:45"
"MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA (412015)";"Médico Hospitalar";"Pequeno";"177";"66";"0,00";"   7,01";"   6,99";"   6,97";"0,00";"0,00";"0,00";"    3,44";"   3,41";"   3,39";"   3,36";"   3,34";"202210";"15/11/2022 05:40:45"
"MINERAÇÃO CARAÍBA S/A (416703)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"NOSAMED ASSISTÊNCIA MÉDICA LTDA. (305928)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA. (372609)";"Médico Hospitalar";"Médio";"47";"54";"   6,54";"   5,50";"   5,22";"   5,40";"   7,67";"   9,85";"    9,61";"    9,02";"   5,99";"   5,10";"   4,40";"   5,50";"202210";"15/11/2022 05:40:45"
"NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A. (348520)";"Médico Hospitalar";"Grande";"34";"27";"   6,21";"   7,97";"   9,24";"   9,72";"  10,89";"  12,52";"   14,90";"   17,88";"  16,91";"  16,15";"  12,93";"  12,72";"202210";"15/11/2022 05:40:45"
"NOTRE DAME INTERMÉDICA SAÚDE S.A. (359017)";"Médico Hospitalar";"Grande";"17";"18";"   8,55";"  10,14";"  10,04";"   9,97";"   9,88";"  10,25";"    9,91";"   10,31";"   9,50";"  10,19";"  11,09";"  12,64";"202210";"15/11/2022 05:40:45"
"NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP (352888)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    3,76";"   7,50";"   7,47";"   3,72";"0,00";"202210";"15/11/2022 05:40:45"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A (416738)";"Médico Hospitalar";"Médio";"156";"182";"   0,82";"   0,42";"   0,85";"   0,43";"   0,45";"   0,45";"    1,38";"    1,38";"   1,39";"   0,47";"   0,96";"   0,48";"202210";"15/11/2022 05:40:45"
"OMINT SERVIÇOS DE SAÚDE LTDA. (359661)";"Médico Hospitalar";"Grande";"54";"59";"   3,17";"   3,58";"   2,74";"   4,28";"   4,42";"   5,27";"    3,54";"    2,84";"   2,11";"   2,61";"   3,11";"   3,22";"202210";"15/11/2022 05:40:45"
"ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA (407534)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,92";"    1,90";"    1,88";"   1,88";"   3,73";"   5,47";"   7,07";"202210";"15/11/2022 05:40:45"
"OPERADORA DE PLANOS PRIVADOS DE ASSISTENCIA A SAUDE CONSAUDE S/S LTDA (350729)";"Médico Hospitalar";"Pequeno";"105";"190";"   2,27";"   0,57";"   0,57";"   0,56";"   0,55";"   2,16";"    2,65";"    2,62";"   1,57";"   1,59";"   2,66";"   4,29";"202210";"15/11/2022 05:40:45"
"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699)";"Médico Hospitalar";"Pequeno";"118";"123";"   2,02";"   2,05";"   1,03";"   3,14";"   3,19";"   3,25";"    3,31";"    4,47";"   6,63";"   5,46";"   4,31";"   3,26";"202210";"15/11/2022 05:40:45"
